Sample	Compartment	SourceColony	AcclimationTank	Origin	Group	Day	Hsp70	Ubiquitin
MVZW-4A-D2	Zoox	9	stable	MV	MV_stable	D2	0.649141138	3.507794284
MVZW-5A-D2	Zoox	10	stable	MV	MV_stable	D2	0.635644068	4.182918861
forereefZW-1A-D2	Zoox	11	stable	forereef	forereef_stable	D2	0.427557483	3.115584497
forereefZW-2A-D2	Zoox	12	stable	forereef	forereef_stable	D2	0.395843289	1.82643875
forereefZW-4A-D2	Zoox	14	stable	forereef	forereef_stable	D2	0.830298471	1.679580739
forereefZW-5A-D2	Zoox	15	stable	forereef	forereef_stable	D2	1.923742941	2.708006227
HVZW-1B-D2	Zoox	1	variable	HV	HV_variable	D2	0.998052356	16.64217274
HVZW-2B-D2	Zoox	2	variable	HV	HV_variable	D2	1.248258294	0.820825157
HVZW-3B-D2	Zoox	3	variable	HV	HV_variable	D2	1.271818076	0.05262
HVZW-4B-D2	Zoox	4	variable	HV	HV_variable	D2	0.755740884	1.656383139
HVZW-5B-D2	Zoox	5	variable	HV	HV_variable	D2	0.944213355	0.180028043
MVZW-1B-D2	Zoox	6	variable	MV	MV_variable	D2	0.671441859	3.122297147
MVZW-2B-D2	Zoox	7	variable	MV	MV_variable	D2	1.215903259	1.425960969
MVZW-3B-D2	Zoox	8	variable	MV	MV_variable	D2	1.398991986	8.849089752
MVZW-4B-D2	Zoox	9	variable	MV	MV_variable	D2	1.254348535	9.413775868
MVZW-5B-D2	Zoox	10	variable	MV	MV_variable	D2	1.061083728	8.911313229
forereefZW-1B-D2	Zoox	11	variable	forereef	forereef_variable	D2	1.159462902	1.802323771
forereefZW-2B-D2	Zoox	12	variable	forereef	forereef_variable	D2	0.518977034	1.28129134
HVZW-3B2-D2	Zoox	13	variable	forereef	forereef_variable	D2	1.19082005	1.636818719
forereefZW-4B-D2	Zoox	14	variable	forereef	forereef_variable	D2	0.714176641	0.003366136
forereefZW-5B-D2	Zoox	15	variable	forereef	forereef_variable	D2	0.909078407	0.503434059
HVZW-1A-D3	Zoox	1	stable	HV	HV_stable	D3	1.083021118	16.36266962
HVZW-2A-D3	Zoox	2	stable	HV	HV_stable	D3	0.411581422	1.780118253
