Sample	origin	acclimation tank	source colony	origin-acclimation	Growth
FR-5	FR	stable	15	FR-stable	2.75
FR-5	FR	stable	15	FR-stable	5.5
FR-5	FR	stable	15	FR-stable	5.75
FR-5	FR	stable	15	FR-stable	6.75
FR-5	FR	stable	15	FR-stable	6.25
HV-1	HV	fluctuating	1	HV-fluctuating	9.75
HV-1	HV	fluctuating	1	HV-fluctuating	13
HV-1	HV	fluctuating	1	HV-fluctuating	11.5
HV-1	HV	fluctuating	1	HV-fluctuating	13.75
HV-1	HV	fluctuating	1	HV-fluctuating	11.75
HV-1	HV	fluctuating	1	HV-fluctuating	11
HV-1	HV	fluctuating	1	HV-fluctuating	10.25
HV-1	HV	fluctuating	1	HV-fluctuating	9
HV-1	HV	fluctuating	1	HV-fluctuating	9.75
HV-1	HV	fluctuating	1	HV-fluctuating	8.75
HV-1	HV	fluctuating	1	HV-fluctuating	10.5
HV-1	HV	fluctuating	1	HV-fluctuating	10
HV-1	HV	fluctuating	1	HV-fluctuating	10
HV-1	HV	fluctuating	1	HV-fluctuating	13.75
HV-1	HV	fluctuating	1	HV-fluctuating	12.25
HV-2	HV	fluctuating	2	HV-fluctuating	8.5
HV-2	HV	fluctuating	2	HV-fluctuating	12.25
HV-2	HV	fluctuating	2	HV-fluctuating	9.5
HV-2	HV	fluctuating	2	HV-fluctuating	6.75
HV-2	HV	fluctuating	2	HV-fluctuating	8
HV-2	HV	fluctuating	2	HV-fluctuating	7.75
HV-2	HV	fluctuating	2	HV-fluctuating	8.25
HV-2	HV	fluctuating	2	HV-fluctuating	9
HV-2	HV	fluctuating	2	HV-fluctuating	12
HV-2	HV	fluctuating	2	HV-fluctuating	10.5
HV-2	HV	fluctuating	2	HV-fluctuating	10.25
HV-2	HV	fluctuating	2	HV-fluctuating	9
HV-2	HV	fluctuating	2	HV-fluctuating	10.75
HV-2	HV	fluctuating	2	HV-fluctuating	10.25
HV-2	HV	fluctuating	2	HV-fluctuating	7.25
HV-3	HV	fluctuating	3	HV-fluctuating	11.75
HV-3	HV	fluctuating	3	HV-fluctuating	14.5
HV-3	HV	fluctuating	3	HV-fluctuating	10.25
HV-3	HV	fluctuating	3	HV-fluctuating	12.5
HV-3	HV	fluctuating	3	HV-fluctuating	17.5
HV-3	HV	fluctuating	3	HV-fluctuating	13.75
HV-3	HV	fluctuating	3	HV-fluctuating	15.25
HV-3	HV	fluctuating	3	HV-fluctuating	13.25
HV-3	HV	fluctuating	3	HV-fluctuating	8.75
HV-3	HV	fluctuating	3	HV-fluctuating	14.25
HV-3	HV	fluctuating	3	HV-fluctuating	14
HV-3	HV	fluctuating	3	HV-fluctuating	12.5
HV-3	HV	fluctuating	3	HV-fluctuating	8.25
HV-3	HV	fluctuating	3	HV-fluctuating	12.75
HV-3	HV	fluctuating	3	HV-fluctuating	11.25
HV-4	HV	fluctuating	4	HV-fluctuating	13.25
HV-4	HV	fluctuating	4	HV-fluctuating	13.75
HV-4	HV	fluctuating	4	HV-fluctuating	13.75
HV-4	HV	fluctuating	4	HV-fluctuating	13.5
HV-4	HV	fluctuating	4	HV-fluctuating	12.5
HV-4	HV	fluctuating	4	HV-fluctuating	10.25
HV-4	HV	fluctuating	4	HV-fluctuating	13
HV-4	HV	fluctuating	4	HV-fluctuating	11.25
HV-4	HV	fluctuating	4	HV-fluctuating	11.75
HV-4	HV	fluctuating	4	HV-fluctuating	12.75
HV-4	HV	fluctuating	4	HV-fluctuating	14
HV-4	HV	fluctuating	4	HV-fluctuating	16.5
HV-4	HV	fluctuating	4	HV-fluctuating	16
HV-4	HV	fluctuating	4	HV-fluctuating	13
HV-4	HV	fluctuating	4	HV-fluctuating	13.5
HV-5	HV	fluctuating	5	HV-fluctuating	12.5
HV-5	HV	fluctuating	5	HV-fluctuating	11.75
HV-5	HV	fluctuating	5	HV-fluctuating	12.25
HV-5	HV	fluctuating	5	HV-fluctuating	13
HV-5	HV	fluctuating	5	HV-fluctuating	10.25
HV-5	HV	fluctuating	5	HV-fluctuating	16
HV-5	HV	fluctuating	5	HV-fluctuating	13
HV-5	HV	fluctuating	5	HV-fluctuating	12.5
HV-5	HV	fluctuating	5	HV-fluctuating	12.75
HV-5	HV	fluctuating	5	HV-fluctuating	10.25
HV-5	HV	fluctuating	5	HV-fluctuating	11.25
HV-5	HV	fluctuating	5	HV-fluctuating	11.5
HV-5	HV	fluctuating	5	HV-fluctuating	11.5
HV-5	HV	fluctuating	5	HV-fluctuating	12
HV-5	HV	fluctuating	5	HV-fluctuating	10
MV-1	MV	fluctuating	6	MV-fluctuating	5
MV-1	MV	fluctuating	6	MV-fluctuating	8.75
MV-1	MV	fluctuating	6	MV-fluctuating	11
MV-1	MV	fluctuating	6	MV-fluctuating	8.5
MV-1	MV	fluctuating	6	MV-fluctuating	9.5
MV-1	MV	fluctuating	6	MV-fluctuating	8
MV-1	MV	fluctuating	6	MV-fluctuating	7.25
MV-1	MV	fluctuating	6	MV-fluctuating	9.25
MV-1	MV	fluctuating	6	MV-fluctuating	8
MV-1	MV	fluctuating	6	MV-fluctuating	7.5
MV-1	MV	fluctuating	6	MV-fluctuating	9.75
MV-1	MV	fluctuating	6	MV-fluctuating	8.75
MV-1	MV	fluctuating	6	MV-fluctuating	10.75
MV-1	MV	fluctuating	6	MV-fluctuating	9
MV-1	MV	fluctuating	6	MV-fluctuating	12.5
MV-2	MV	fluctuating	7	MV-fluctuating	7
MV-2	MV	fluctuating	7	MV-fluctuating	8
MV-2	MV	fluctuating	7	MV-fluctuating	8.75
MV-2	MV	fluctuating	7	MV-fluctuating	7.25
MV-2	MV	fluctuating	7	MV-fluctuating	8.5
MV-2	MV	fluctuating	7	MV-fluctuating	7
MV-2	MV	fluctuating	7	MV-fluctuating	7.75
MV-2	MV	fluctuating	7	MV-fluctuating	7.75
MV-2	MV	fluctuating	7	MV-fluctuating	7.25
MV-2	MV	fluctuating	7	MV-fluctuating	8.25
MV-2	MV	fluctuating	7	MV-fluctuating	6.75
MV-2	MV	fluctuating	7	MV-fluctuating	5.5
MV-2	MV	fluctuating	7	MV-fluctuating	8.5
MV-2	MV	fluctuating	7	MV-fluctuating	7
MV-2	MV	fluctuating	7	MV-fluctuating	8.5
MV-3	MV	fluctuating	8	MV-fluctuating	5.5
MV-3	MV	fluctuating	8	MV-fluctuating	4.5
MV-3	MV	fluctuating	8	MV-fluctuating	6
MV-3	MV	fluctuating	8	MV-fluctuating	5.75
MV-3	MV	fluctuating	8	MV-fluctuating	4.75
MV-3	MV	fluctuating	8	MV-fluctuating	6
MV-3	MV	fluctuating	8	MV-fluctuating	7.5
MV-3	MV	fluctuating	8	MV-fluctuating	3.75
MV-3	MV	fluctuating	8	MV-fluctuating	5.75
MV-3	MV	fluctuating	8	MV-fluctuating	4
MV-3	MV	fluctuating	8	MV-fluctuating	5
MV-3	MV	fluctuating	8	MV-fluctuating	5.25
MV-3	MV	fluctuating	8	MV-fluctuating	4.5
MV-3	MV	fluctuating	8	MV-fluctuating	4.25
MV-3	MV	fluctuating	8	MV-fluctuating	5
MV-4	MV	fluctuating	9	MV-fluctuating	5.25
MV-4	MV	fluctuating	9	MV-fluctuating	10
MV-4	MV	fluctuating	9	MV-fluctuating	6.5
MV-4	MV	fluctuating	9	MV-fluctuating	5.25
MV-4	MV	fluctuating	9	MV-fluctuating	8
MV-4	MV	fluctuating	9	MV-fluctuating	6.5
MV-4	MV	fluctuating	9	MV-fluctuating	6
MV-4	MV	fluctuating	9	MV-fluctuating	8
MV-4	MV	fluctuating	9	MV-fluctuating	6.25
MV-4	MV	fluctuating	9	MV-fluctuating	6
MV-4	MV	fluctuating	9	MV-fluctuating	7.25
MV-4	MV	fluctuating	9	MV-fluctuating	7.75
MV-4	MV	fluctuating	9	MV-fluctuating	5.25
MV-4	MV	fluctuating	9	MV-fluctuating	6.75
MV-4	MV	fluctuating	9	MV-fluctuating	11.75
MV-5	MV	fluctuating	10	MV-fluctuating	7.5
MV-5	MV	fluctuating	10	MV-fluctuating	8.5
MV-5	MV	fluctuating	10	MV-fluctuating	9
MV-5	MV	fluctuating	10	MV-fluctuating	7
MV-5	MV	fluctuating	10	MV-fluctuating	9
MV-5	MV	fluctuating	10	MV-fluctuating	8.25
MV-5	MV	fluctuating	10	MV-fluctuating	8.75
MV-5	MV	fluctuating	10	MV-fluctuating	8.25
MV-5	MV	fluctuating	10	MV-fluctuating	9.75
MV-5	MV	fluctuating	10	MV-fluctuating	9.75
MV-5	MV	fluctuating	10	MV-fluctuating	8.5
MV-5	MV	fluctuating	10	MV-fluctuating	10.75
MV-5	MV	fluctuating	10	MV-fluctuating	11.75
MV-5	MV	fluctuating	10	MV-fluctuating	10.75
MV-5	MV	fluctuating	10	MV-fluctuating	11.25
FR-1	FR	fluctuating	11	FR-fluctuating	9
FR-1	FR	fluctuating	11	FR-fluctuating	8.25
FR-1	FR	fluctuating	11	FR-fluctuating	10.5
FR-1	FR	fluctuating	11	FR-fluctuating	10.75
FR-1	FR	fluctuating	11	FR-fluctuating	9.75
FR-1	FR	fluctuating	11	FR-fluctuating	8
FR-1	FR	fluctuating	11	FR-fluctuating	10.5
FR-1	FR	fluctuating	11	FR-fluctuating	8.75
FR-1	FR	fluctuating	11	FR-fluctuating	9.75
FR-1	FR	fluctuating	11	FR-fluctuating	9.25
FR-1	FR	fluctuating	11	FR-fluctuating	9
FR-1	FR	fluctuating	11	FR-fluctuating	10
FR-1	FR	fluctuating	11	FR-fluctuating	7.75
FR-1	FR	fluctuating	11	FR-fluctuating	8.25
FR-1	FR	fluctuating	11	FR-fluctuating	10
FR-2	FR	fluctuating	12	FR-fluctuating	8.25
FR-2	FR	fluctuating	12	FR-fluctuating	9.25
FR-2	FR	fluctuating	12	FR-fluctuating	9.5
FR-2	FR	fluctuating	12	FR-fluctuating	9.25
FR-2	FR	fluctuating	12	FR-fluctuating	7.5
FR-2	FR	fluctuating	12	FR-fluctuating	8.5
FR-2	FR	fluctuating	12	FR-fluctuating	5
FR-2	FR	fluctuating	12	FR-fluctuating	6.75
FR-2	FR	fluctuating	12	FR-fluctuating	9
FR-2	FR	fluctuating	12	FR-fluctuating	6.25
FR-2	FR	fluctuating	12	FR-fluctuating	6.25
FR-2	FR	fluctuating	12	FR-fluctuating	7.25
FR-2	FR	fluctuating	12	FR-fluctuating	7.75
FR-2	FR	fluctuating	12	FR-fluctuating	6
FR-2	FR	fluctuating	12	FR-fluctuating	6
FR-3	FR	fluctuating	13	FR-fluctuating	8.5
FR-3	FR	fluctuating	13	FR-fluctuating	7.25
FR-3	FR	fluctuating	13	FR-fluctuating	8.75
FR-3	FR	fluctuating	13	FR-fluctuating	8.5
FR-3	FR	fluctuating	13	FR-fluctuating	9
FR-3	FR	fluctuating	13	FR-fluctuating	11
FR-3	FR	fluctuating	13	FR-fluctuating	10
FR-3	FR	fluctuating	13	FR-fluctuating	9.25
FR-3	FR	fluctuating	13	FR-fluctuating	10.75
FR-3	FR	fluctuating	13	FR-fluctuating	7
FR-3	FR	fluctuating	13	FR-fluctuating	11
FR-3	FR	fluctuating	13	FR-fluctuating	7.75
FR-3	FR	fluctuating	13	FR-fluctuating	8
FR-3	FR	fluctuating	13	FR-fluctuating	5.5
FR-3	FR	fluctuating	13	FR-fluctuating	7.75
FR-4	FR	fluctuating	14	FR-fluctuating	7.5
FR-4	FR	fluctuating	14	FR-fluctuating	6.75
FR-4	FR	fluctuating	14	FR-fluctuating	8.25
FR-4	FR	fluctuating	14	FR-fluctuating	7
FR-4	FR	fluctuating	14	FR-fluctuating	6.5
FR-4	FR	fluctuating	14	FR-fluctuating	6.5
FR-4	FR	fluctuating	14	FR-fluctuating	5.25
FR-4	FR	fluctuating	14	FR-fluctuating	7.25
FR-4	FR	fluctuating	14	FR-fluctuating	6
FR-4	FR	fluctuating	14	FR-fluctuating	8
FR-4	FR	fluctuating	14	FR-fluctuating	4.75
FR-4	FR	fluctuating	14	FR-fluctuating	8.25
FR-4	FR	fluctuating	14	FR-fluctuating	7.25
FR-4	FR	fluctuating	14	FR-fluctuating	6.75
FR-4	FR	fluctuating	14	FR-fluctuating	6
FR-4	FR	fluctuating	14	FR-fluctuating	5.75
FR-5	FR	fluctuating	15	FR-fluctuating	7.75
FR-5	FR	fluctuating	15	FR-fluctuating	10
FR-5	FR	fluctuating	15	FR-fluctuating	0
FR-5	FR	fluctuating	15	FR-fluctuating	8
FR-5	FR	fluctuating	15	FR-fluctuating	8
FR-5	FR	fluctuating	15	FR-fluctuating	6.75
FR-5	FR	fluctuating	15	FR-fluctuating	8
FR-5	FR	fluctuating	15	FR-fluctuating	7.75
FR-5	FR	fluctuating	15	FR-fluctuating	11.5
FR-5	FR	fluctuating	15	FR-fluctuating	8.75
FR-5	FR	fluctuating	15	FR-fluctuating	9.75
FR-5	FR	fluctuating	15	FR-fluctuating	7.25
FR-5	FR	fluctuating	15	FR-fluctuating	8
FR-5	FR	fluctuating	15	FR-fluctuating	7.25
FR-5	FR	fluctuating	15	FR-fluctuating	10
